topic_int,topic_names,labels_layer,Source
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
6,offshor grid,6: offshor grid,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
3,renew energi,3: renew energi,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
6,offshor grid,6: offshor grid,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,offshor grid,6: offshor grid,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
6,offshor grid,6: offshor grid,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
5,municip council,5: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
5,municip council,5: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,municip council,5: municip council,Reg Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
2,offshor wind,2: offshor wind,Sci Media
3,renew energi,3: renew energi,Sci Media
4,wind turbin,4: wind turbin,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
6,offshor grid,6: offshor grid,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
2,offshor wind,2: offshor wind,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
2,offshor wind,2: offshor wind,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
2,offshor wind,2: offshor wind,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
4,wind turbin,4: wind turbin,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
0,energi island,0: energi island,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
0,energi island,0: energi island,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
4,wind turbin,4: wind turbin,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
4,wind turbin,4: wind turbin,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
4,wind turbin,4: wind turbin,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
0,energi island,0: energi island,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
4,wind turbin,4: wind turbin,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
0,energi island,0: energi island,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
2,offshor wind,2: offshor wind,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
1,wind farm,1: wind farm,Sci Media
3,renew energi,3: renew energi,Sci Media
3,renew energi,3: renew energi,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
1,wind farm,1: wind farm,Sci Media
6,offshor grid,6: offshor grid,Sci Media
3,renew energi,3: renew energi,Sci Media
