topic_int,topic_names,labels_layer,Source
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
8,wind turbin,8: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
